# S1              S2
  3.7133610e+001  4.0644630e+003
  8.8311890e+000  1.9496254e+003
  4.7850890e+000  8.3609961e+002
  2.0563040e+001  2.2602336e+003
  9.5108030e+000  1.2976937e+003
  2.0294720e+001  1.7884964e+003
  1.7446210e+001  3.1042172e+003
  3.6086280e+001  3.7821880e+003
  2.0007960e+001  2.6646539e+003
  3.7492940e+001  3.4583863e+003
  2.8722010e+001  2.6397745e+003
  1.1040620e+001  1.0659835e+003
  3.2945370e+001  3.6658897e+003
  9.8001290e+000  2.1405175e+003
  2.7624490e+001  3.6837341e+003
  2.4173540e+001  2.9312797e+003
  3.0369600e+001  2.4999543e+003
  2.6370630e+001  3.2043984e+003
  1.8436960e+001  1.0864639e+003
  2.5404000e+001  4.1760636e+003
  1.3709180e+000  8.2283826e+002
  1.9297340e+000  1.0462668e+003
  2.1256480e+001  1.9544085e+003
  1.4320950e+001  1.3445434e+003
  3.9133200e+000  4.7367816e+002
  7.7117570e+000  8.2947889e+002
  1.5875610e+001  2.6108410e+003
  1.2785880e+001  1.5028188e+003
  3.2900460e+001  6.4922161e+003
  1.6970410e+001  1.8912517e+003
  1.1276850e+001  8.6891802e+002
  3.3362140e+001  3.8348369e+003
  1.0260930e+001  1.9455649e+003
  2.7835690e+001  3.2574142e+003
  2.0884220e+001  1.0369200e+003
  1.9580500e+001  2.5407023e+003
  8.0607950e+000  1.3885383e+003
  3.3042820e+001  5.1581991e+003
  4.5014840e+000  1.0771067e+003
  3.9121230e+001  2.5964293e+003
  2.3617490e+001  3.3558902e+003
  2.6263050e+001  3.0258066e+003
  8.0707460e+000  1.0563788e+003
  2.5665840e+001  1.4359869e+003
  9.8381380e+000  2.4177919e+003
  3.5374100e+001  4.8409589e+003
  2.4208850e+001  2.0941277e+003
  5.1219030e+000  1.3249679e+003
  2.7873390e+001  2.7152185e+003
  2.5816610e+001  2.6500204e+003
  1.0435750e+001  2.9691468e+003
  1.2559050e+001  2.1202096e+003
  2.8279400e+001  2.8682909e+003
  9.4613580e+000  7.4575380e+002
  8.9622530e+000  1.6676780e+003
  3.7343060e+001  2.7251092e+003
  1.7561530e+001  1.1076316e+003
  2.9972150e+001  3.9899081e+003
  1.3275350e+001  1.2034221e+003
  3.8123710e+001  4.0050151e+003
  7.9585320e+000  6.3576405e+002
  2.6048850e+001  2.8666360e+003
  2.5116140e+001  2.7926332e+003
  1.8708790e+001  1.5488690e+003
  2.1252570e+001  1.9067004e+003
  2.5132460e+001  2.0609905e+003
  2.9430250e+001  2.7706837e+003
  1.1300640e+001  1.2333577e+003
  2.5373740e+001  3.0285970e+003
  6.9547120e+000  1.2450711e+003
  3.0874210e+001  3.9848305e+003
  3.0191720e+001  2.1661965e+003
  1.7035720e+001  1.7835549e+003
  3.7643120e+001  4.2596961e+003
  3.8260020e+001  3.4337936e+003
  3.2791400e+001  3.4882047e+003
  3.8879290e+001  2.4267404e+003
  2.8821250e+001  4.7693568e+003
  6.2230910e+000  7.5043167e+002
  3.0926450e+001  2.1516571e+003
  5.5921380e+000  1.3983886e+003
  2.2673590e+001  2.4692342e+003
  3.4454190e+001  3.0399262e+003
  1.8501560e+001  1.9070424e+003
  3.3316260e+000  1.3984799e+003
  3.2552690e+001  5.7553254e+003
  2.1213490e+001  2.9725155e+003
  2.1732310e+001  3.3648747e+003
  1.9206430e+001  1.7525227e+003
  1.7622120e+001  1.7140566e+003
  2.7153550e+001  2.8861215e+003
  2.2083710e+001  1.9883692e+003
  3.5851800e+001  1.6904486e+003
  3.6422210e+001  2.3134190e+003
  2.5517710e+001  2.5857867e+003
  1.0458020e+001  1.8289737e+003
  5.5197140e+000  1.2142960e+003
  2.0421450e+001  2.5594555e+003
  3.3933910e+001  3.9306186e+003
  1.6384010e+001  1.1502843e+003
  2.9482170e+001  4.1074421e+003
  1.5908750e+001  1.8783783e+003
  1.2745320e+001  1.5685983e+003
  2.4592380e+001  1.7720442e+003
  2.1706270e+001  1.6440015e+003
  1.0931360e+001  2.0032733e+003
  1.9623550e+001  1.2952290e+003
  2.7949070e+001  4.1226300e+003
